Basti ID,Basti  Name,Nagar ID,created on,updated on
8050992,Chandanagar,80509,07-Jan-21,07-Jan-21
8050993,Jawahar Colony,80509,07-Jan-21,07-Jan-21
8050994,Vemana colony,80509,07-Jan-21,07-Jan-21
8050995,Gauthami nagar,80509,07-Jan-21,07-Jan-21
8050996,Taranagar,80509,07-Jan-21,07-Jan-21
8050997,Shivaji nagar,80509,07-Jan-21,07-Jan-21
8050998, Rail Vihar,80509,07-Jan-21,07-Jan-21
8050999,Gulmohar Park Colony,80509,07-Jan-21,07-Jan-21
8051000,Gopi Nagar,80510,07-Jan-21,07-Jan-21
8051001,Papireddy Nagar ,80510,07-Jan-21,07-Jan-21
9010101,JUBILEE HILLS,90101,07-Jan-21,07-Jan-21
9010102,VENKATAGIRI,90101,07-Jan-21,07-Jan-21
9010103,YOUSUFGUDA,90101,07-Jan-21,07-Jan-21
9010104,YELLAREDDYGUDA,90101,07-Jan-21,07-Jan-21
9010105,PANJAGUTTA,90101,07-Jan-21,07-Jan-21
9010106,SRINAGAR COLONY,90101,07-Jan-21,07-Jan-21
9010107,KRISHNA NAGAR,90101,07-Jan-21,07-Jan-21
9010108,FILM NAGAR,90101,07-Jan-21,07-Jan-21
9010209,LAXMI NAGAR(KHAIRTHABAD),90102,07-Jan-21,07-Jan-21
9010210,SARASWATHI NAGAR,90102,07-Jan-21,07-Jan-21
9010211,MARUTHI NAGAR,90102,07-Jan-21,07-Jan-21
9010212,ANAND NAGAR,90102,07-Jan-21,07-Jan-21
9010213,PADMAVATHI NAGAR,90102,07-Jan-21,07-Jan-21
9010214,PREM NAGAR,90102,07-Jan-21,07-Jan-21
9010215,VEER NAGAR,90102,07-Jan-21,07-Jan-21
9010216,THUMMALA BASTHI,90102,07-Jan-21,07-Jan-21
9010217,SOMAJIGUDA,90102,07-Jan-21,07-Jan-21
9010218,BHOLA SHANKAR BASTHI,90102,07-Jan-21,07-Jan-21
9010219,METHODIST COLONY,90102,07-Jan-21,07-Jan-21
9010220,BANJARA HILLS,90102,07-Jan-21,07-Jan-21
9010221,N B T NAGAR,90102,07-Jan-21,07-Jan-21
9010322,SEETHARAM BAGH,90103,07-Jan-21,07-Jan-21
9010323,INDIRA NAGAR,90103,07-Jan-21,07-Jan-21
9010324,DATHATREYA NAGAR,90103,07-Jan-21,07-Jan-21
9010325,KOMATIKUNTA,90103,07-Jan-21,07-Jan-21
9010326,BAJARGHAT,90103,07-Jan-21,07-Jan-21
9010327,DEVIBAGH,90103,07-Jan-21,07-Jan-21
9010328,ADARSH NAGAR,90103,07-Jan-21,07-Jan-21
