Basti / Upamandal ID,Basti / Upamandal Name,Nagar ID,Created On,Modified On
90104036,UPPER DHOOLPET,90104,08-Jan-21,08-Jan-21
90104037,LOWER DHOOLPET,90104,08-Jan-21,08-Jan-21
90104038,BIRBAN BAGH,90104,08-Jan-21,08-Jan-21
90104039,GYANBAGH COLONY,90104,08-Jan-21,08-Jan-21
90104040,CHANDANWADI,90104,08-Jan-21,08-Jan-21
90105041,KARWAN,90105,08-Jan-21,08-Jan-21
90105042,AMALAPUR,90105,08-Jan-21,08-Jan-21
90105043,KUMARWADI,90105,08-Jan-21,08-Jan-21
90105044,RAMPURA,90105,08-Jan-21,08-Jan-21
90105045,RANGANATHA,90105,08-Jan-21,08-Jan-21
90105046,ZIAGUDA,90105,08-Jan-21,08-Jan-21
90105047,SUBJIMANDI,90105,08-Jan-21,08-Jan-21
90105048,RAMSINGH PURA,90105,08-Jan-21,08-Jan-21
90105049,SHIV BAGH,90105,08-Jan-21,08-Jan-21
90106050,HAINDAVA NAGAR,90106,08-Jan-21,08-Jan-21
90106051,KANTHAREDDY NAGAR,90106,08-Jan-21,08-Jan-21
90106052,ATTAPUR,90106,08-Jan-21,08-Jan-21
90106053,PANDURANGA NAGAR,90106,08-Jan-21,08-Jan-21
90106054,SHIVA NAGAR,90106,08-Jan-21,08-Jan-21
90106055,UPPER PALLI,90106,08-Jan-21,08-Jan-21
90106056,VENKATESHWARA COLONY,90106,08-Jan-21,08-Jan-21
90106057,ERRABODA,90106,08-Jan-21,08-Jan-21
90106058,JANAPRIYA,90106,08-Jan-21,08-Jan-21
90107059,LANGER HOUSE,90107,08-Jan-21,08-Jan-21
90107060,DEFENCE COLONY,90107,08-Jan-21,08-Jan-21
90107061,BAPUNAGAR,90107,08-Jan-21,08-Jan-21
90107062,PRASHANTH NAGAR,90107,08-Jan-21,08-Jan-21
90107063,RAMDEV GUDA,90107,08-Jan-21,08-Jan-21
90107064,HAINDAVA KOTA,90107,08-Jan-21,08-Jan-21
90107065,KAALIKA NAGAR,90107,08-Jan-21,08-Jan-21
90107066,KISMATHPURA,90107,08-Jan-21,08-Jan-21
90107067,BANDLAGUDA,90107,08-Jan-21,08-Jan-21
90107068,SUNCITY,90107,08-Jan-21,08-Jan-21
90108069,OLD NARSINGI,90108,08-Jan-21,08-Jan-21
