Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80501002009,Kalyan Jwellers Basti,80501002009,08-Jan-21,08-Jan-21
80501002010,YSR Statue Basti,80501002010,08-Jan-21,08-Jan-21
80501003011,Industrial Area,80501003011,08-Jan-21,08-Jan-21
80501003012,Vignanpuri Colony,80501003012,08-Jan-21,08-Jan-21
80501003013,Mytri Nagar,80501003013,08-Jan-21,08-Jan-21
80501003014,Sai Baba Gudi Basti,80501003014,08-Jan-21,08-Jan-21
80501003015,Rajeev Gandhi Nagar,80501003015,08-Jan-21,08-Jan-21
80501004016,Dayaru Guda,80501004016,08-Jan-21,08-Jan-21
80501004017,Kerala Basti,80501004017,08-Jan-21,08-Jan-21
80501004018,Devi Nagar,80501004018,08-Jan-21,08-Jan-21
80501004019,Ramaiah Nagar,80501004019,08-Jan-21,08-Jan-21
80501004020,Sakali Basti,80501004020,08-Jan-21,08-Jan-21
80501005021,Ayyappa Swamy Basti,80501005021,08-Jan-21,08-Jan-21
80501005022,Little flower school Basti,80501005022,08-Jan-21,08-Jan-21
80501005023,Community Hall Basti,80501005023,08-Jan-21,08-Jan-21
80501005024,Industrial Area Basti,80501005024,08-Jan-21,08-Jan-21
80501005025,Pochamma Talli Basti,80501005025,08-Jan-21,08-Jan-21
80501006026,Eenadu colony,80501006026,08-Jan-21,08-Jan-21
80501006027,Senior citizens Park Road,80501006027,08-Jan-21,08-Jan-21
80501006028,Venakateshwara Swamy Basti,80501006028,08-Jan-21,08-Jan-21
80501006029,Girls Hostel Basti,80501006029,08-Jan-21,08-Jan-21
80501006030,Vivekananda Nagar Colony,80501006030,08-Jan-21,08-Jan-21
80501007031,Anjaneya Gudi Road,80501007031,08-Jan-21,08-Jan-21
80501007032,Yadav Basti,80501007032,08-Jan-21,08-Jan-21
80501007033,Ramalayam Road,80501007033,08-Jan-21,08-Jan-21
80501007034,Kumari Basti,80501007034,08-Jan-21,08-Jan-21
80501007035,Pochamma Temple Road,80501007035,08-Jan-21,08-Jan-21
80501008036,Community Hall Basti,80501008036,08-Jan-21,08-Jan-21
80501008037,Ayyappa Swamy Basti,80501008037,08-Jan-21,08-Jan-21
80501008038,Vadepalli Enclave,80501008038,08-Jan-21,08-Jan-21
80501008039,Road no 1 to 4,80501008039,08-Jan-21,08-Jan-21
80501008040,Road no 5 to 10,80501008040,08-Jan-21,08-Jan-21
80501009041,Shanti Nagar,80501009041,08-Jan-21,08-Jan-21
80501009042,Shesadri Nagar,80501009042,08-Jan-21,08-Jan-21
80501009043,Community Hall Basti,80501009043,08-Jan-21,08-Jan-21
80501009044,"Road no 1, 2, 3, 4, 5",80501009044,08-Jan-21,08-Jan-21
80501009045,"Road No 6, 7, 8, 9, 10",80501009045,08-Jan-21,08-Jan-21
80501010046,DAV primary school Basti,80501010046,08-Jan-21,08-Jan-21
80501010047,SC Basti,80501010047,08-Jan-21,08-Jan-21
80501010048,Sai Baba Colony,80501010048,08-Jan-21,08-Jan-21
